email,frequency
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1497,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4294,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2161,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1694,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1821,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2076,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2246,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\564,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1242,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1489,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2472,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\314,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1697,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2016,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4520,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4031,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\275,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4541,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\863,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\860,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1740,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1011,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4788,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4466,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1488,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4340,1
